熱負荷[kW],処理負荷[kW],負荷率（実質）[-],低圧[MPa],高圧[MPa],圧縮機消費電力[kW],室外機ファン消費電力[kW],室内機消費電力（合算）[kW],圧縮機COP[-],システムCOP[-],室内機1処理負荷[kW],室内機1顕熱比[-],室内機2処理負荷[kW],室内機2顕熱比[-],室内機3処理負荷[kW],室内機3顕熱比[-],室内機4処理負荷[kW],室内機4顕熱比[-],室内機5処理負荷[kW],室内機5顕熱比[-],室内機6処理負荷[kW],室内機6顕熱比[-],室内機7処理負荷[kW],室内機7顕熱比[-],室内機8処理負荷[kW],室内機8顕熱比[-],室内機9処理負荷[kW],室内機9顕熱比[-],室内機10処理負荷[kW],室内機10顕熱比[-],室内機11処理負荷[kW],室内機11顕熱比[-],室内機12処理負荷[kW],室内機12顕熱比[-],室内機13処理負荷[kW],室内機13顕熱比[-],室内機14処理負荷[kW],室内機14顕熱比[-],室内機15処理負荷[kW],室内機15顕熱比[-],室内機16処理負荷[kW],室内機16顕熱比[-]
15.20,15.20,0.051,1.102,1.838,5.56,1.65,1.12,2.73,1.83,0.00,0.000,0.00,0.000,0.00,0.000,1.71,1.000,0.00,0.000,0.00,0.000,2.89,1.000,3.09,1.000,3.27,1.000,0.00,0.000,0.00,0.000,0.00,0.000,1.78,1.000,0.00,0.000,0.00,0.000,2.46,1.000
15.80,15.80,0.055,1.102,1.875,6.01,1.65,1.12,2.63,1.80,0.00,0.000,0.00,0.000,0.00,0.000,1.42,1.000,0.00,0.000,0.00,0.000,2.51,1.000,2.58,1.000,2.73,1.000,0.00,0.000,0.00,0.000,3.35,1.000,1.46,1.000,0.00,0.000,0.00,0.000,1.75,1.000
16.00,16.00,0.054,1.102,1.856,5.94,1.65,1.12,2.69,1.84,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.88,1.000,2.92,1.000,2.73,1.000,0.00,0.000,0.00,0.000,3.85,1.000,1.55,1.000,0.00,0.000,0.00,0.000,2.07,1.000
14.80,14.80,0.050,1.102,1.856,5.55,1.65,1.12,2.67,1.78,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.94,1.000,3.01,1.000,2.72,1.000,0.00,0.000,0.00,0.000,3.87,1.000,0.00,0.000,0.00,0.000,0.00,0.000,2.25,1.000
13.60,13.60,0.046,1.102,1.845,5.07,1.65,1.12,2.68,1.73,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.48,1.000,2.56,1.000,2.61,1.000,0.00,0.000,0.00,0.000,3.75,1.000,0.00,0.000,0.00,0.000,0.00,0.000,2.20,1.000
13.20,13.20,0.044,1.102,1.839,4.90,1.65,1.12,2.69,1.72,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.35,1.000,2.42,1.000,2.64,1.000,0.00,0.000,0.00,0.000,3.68,1.000,0.00,0.000,0.00,0.000,0.00,0.000,2.12,1.000
12.00,12.00,0.037,1.102,1.786,4.20,1.65,1.12,2.86,1.72,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.83,1.000,0.83,1.000,1.50,1.000,1.47,1.000,1.64,1.000,1.34,1.000,0.00,0.000,2.19,1.000,0.00,0.000,0.00,0.000,1.14,1.000,1.06,1.000
0.40,0.40,0.001,1.103,1.775,0.60,1.65,1.12,0.66,0.12,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.15,1.000,0.13,1.000,0.00,0.000,0.12,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
